RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Alameda dos Anapurus,04087000,218,3,3,3,1745000
Rua Leme do Prado,04747100,300,3,3,2,1420000
Jardim Célia (Zona Sul),04475160,266,4,3,3,2500000
Rua Doutor Benedito Matarazzo,05854090,160,3,3,3,550000
Rua Desembargador Vicente Penteado,01440030,410,4,6,3,5200000
Rua Umburanas,05464000,370,4,5,4,4100000
Morumbi,05606010,566,4,7,8,3500000
Parque Guarani,08235630,98,2,1,2,369999
Rua Conde D'Eu,04738010,312,4,3,3,1700000
Rua das Fiandeiras,04545000,300,3,5,2,3900000
Rua Juvenal Galeno,04290030,280,3,5,7,1389000
Rua Falchi Gianini,03136040,120,3,2,3,565000
Rua Erva Cidreira,05159540,160,3,3,2,689900
Alameda Casa Branca,01408001,180,2,1,2,2100000
Rua Aparaó,05618080,320,3,4,7,1980000
Rua Saramenha,01259030,300,4,4,4,1650000
Vila Brasilina,04163005,187,3,1,5,690000
Vila Antonieta,03475025,135,3,1,2,589000
Rua Backer,01541000,248,3,3,2,890000
Rua Duartina,01256030,345,4,3,6,2800000
Rua Estevão Baião,04624000,125,2,2,1,600000
Rua Professor Athanassof,03552110,150,3,2,2,430000
Rua Desembargador do Vale,05010040,148,3,2,1,830000
Rua Carlos Malheiro Dias,05170040,108,3,3,3,598000
Avenida Euclides,04326080,140,3,2,2,625400
Rua Murajuba,05467010,300,2,4,2,3350000
Jardim Europa,01449001,1510,5,5,20,65000000
Vila Ema,03156000,88,2,2,3,470000
Rua Antônio de Gouveia Giudice,05460000,340,4,7,3,4250000
Rua Antônio Carlos de Andrade,04773100,136,3,2,3,550000
Rua Marjorie Prado,04663080,400,4,6,4,1200000
Rua Pedro Teixeira,04550010,135,3,3,1,1100000
Jardim Morumbi,05693000,445,2,3,4,1900000
Rua Porto Martins,04570140,160,3,1,2,1400000
Rua Ernesto Nazaré,05462000,434,4,4,5,3900000
Vila Nova Conceição,04507000,270,4,3,2,2995000
Alto de Pinheiros,05462050,426,4,7,5,2700000
Boaçava,05469020,410,3,5,3,4200000
Alto de Pinheiros,05462050,337,4,5,4,2900000
Vila Morse,05622015,160,3,4,2,770000
Avenida Doutor Cardoso de Melo,04548000,200,2,1,2,2900000
Rua Orlando Chiodi,03272080,150,3,2,1,420000
Rua Princesa Leopoldina,05081090,150,3,2,4,1500000
Rua Geórgia,04559010,130,2,5,1,1700000
Rua Januário Miraglia,04507020,180,3,1,4,2980000
Rua das Fiandeiras,04545000,300,4,1,2,3900000
Rua Januário Cardoso,04507070,550,2,4,2,15500000
Rua Buarque,05618060,360,4,6,5,1900000
Itaim Bibi,04538132,328,2,3,2,3500000
Rua Dona Ana Helena de Salles Gusmão,01457040,363,4,6,4,5600000
Rua Vicente Pereira,02345070,600,6,7,6,3800000
Conjunto Residencial Vista Verde,05171520,120,3,2,2,585000
Rua Deodato Saraiva da Silva,03694090,300,3,2,1,550000
Rua Adelino Bertoli,02241120,274,4,3,2,600000
Jardim Franca,02338020,150,3,5,8,2000000
Cidade Jardim,01453000,720,4,5,4,4700000
Rua Marabá Paulista,02758060,115,2,2,1,400000
Rua Comendador Gabriel Calfat,05621000,554,4,7,3,2350000
Rua Emboabas,04623010,400,6,4,6,1950000
Rua Curuzu,05084020,216,3,5,3,2500000
Rua Doutor Manoel Maria Tourinho,01236000,400,3,3,8,5995500
Jardim Paulistano,01451001,200,3,3,2,3280000
Alto de Pinheiros,05462050,400,4,3,4,2111000
Rua Gaivota,08373240,360,4,6,3,4490000
Avenida Amarilis,05673030,840,4,6,8,5797000
Jardim Guedala,05608020,290,3,4,4,1950000
Rua Banibás,05460010,203,3,4,4,2800000
Morumbi,05606010,764,4,4,6,3500000
Rua Afonso José de Carvalho,05451000,300,2,1,2,1595000
Avenida IV Centenário,04030000,675,8,6,9,9900000
Rua Rodrigues Seixas,08280130,50,2,1,1,200000
Rua Mário Whately,05083140,200,3,1,3,1280000
Parque São Domingos,05127060,250,4,4,4,1150000
Rua Bernardino de Campos,04620000,180,3,3,2,900000
Rua Cruzeiro,01137000,70,2,2,2,460000
Rua Mauricina,05045030,150,2,3,3,1280000
Jardim Leonor,02348170,506,4,5,6,3500000
Rua Guararapes,05077050,130,3,1,2,1100000
Rua Cerro Corá,05061000,98,2,2,1,791000
Rua Igaratinga,03273400,80,2,2,2,490000
Rua Marco Aurélio,05048000,270,3,2,1,950000
Rua Colorado,04225050,232,3,2,3,450000
Alameda dos Indígenas,04059060,312,3,3,5,1900000
Rua Domingos Furtado Valadares,04437140,178,3,4,3,550000
Rua Joaquim Nabuco,03050020,200,3,1,4,1600000
Jardim Guedala,05608020,450,3,4,5,3100000
Alto da Lapa,05083010,420,4,5,6,1864500
Rua Constantino de Sousa,04605000,480,6,7,5,7200000
Jardim Guedala,05608020,365,3,5,4,3300000
Jardim Luzitânia,04030000,460,3,4,3,5500000
Rua Primavera,04235220,665,4,4,6,5500000
Rua Paulo Rafael,02765030,110,2,2,2,480000
Rua Wanderley,05011000,600,6,6,4,2300000
Rua Álvaro Rodrigues,04582000,300,3,2,3,1276600
Rua Doutor João Batista de Lacerda,03177010,100,3,1,1,852000
Rua Jandiro Joaquim Pereira,05658000,436,4,5,4,1600000
Jardim Guedala,05608020,650,4,7,5,4500000
Rua Morais de Barros,04614000,140,4,2,8,2020000
Rua Antônio Pereira Mendes,04648235,251,3,5,5,1450000
Avenida Ceci,04065000,520,3,1,3,2226000
Rua Turiassu,05005001,300,8,4,1,2000000
Rua Itaperuna,01247010,780,4,8,4,11990000
Rua Boquim,05454000,235,3,4,6,2240000
Rua Barão de Loreto,04265030,180,3,4,2,2000000
Vila Albertina,02731060,323,3,5,6,1270000
Rua Barão de São Gabriel,05085060,361,4,4,4,2500000
Alameda Álvaro de Morais,04072100,208,3,1,5,1400000
Rua Visconde de Indaiatuba,05083080,320,3,1,3,2128000
Rua Judith,05445060,146,3,3,1,1500000
Rua Lomas Valentinas,05084010,300,4,4,4,3290000
Rua Luisiania,04560020,180,3,4,2,1180000
Jardim Guedala,05608020,449,4,5,5,3500000
Rua Rocinha,04127030,195,4,3,2,1800000
Rua Francisco de Paula Brito,04071050,250,3,3,4,2190000
Rua Otávio Tarquínio de Souza,04613000,300,4,3,3,3000000
Rua Barão do Triunfo,04602000,220,2,1,2,1914893
Rua Lourenço Marques,04547100,82,3,2,1,1200000
Rua dos Macunis,05444000,240,3,1,5,1800000
Rua Francisco Gomes da Silva Prado,04148080,257,4,1,4,1100000
Rua Porangaba,04136020,200,4,1,4,1332000
Rua Potenji,04139020,280,3,2,2,1950000
Rua Murajuba,05467010,439,4,1,3,4200000
Rua Califórnia,04891340,527,4,6,4,9396000
Rua Maestro Chiaffarelli,01432030,260,3,1,4,3900000
Praça Doutor Silas Botelho,01253090,378,3,3,2,2000000
Rua Eunice Weaver,03333060,150,3,2,3,1219000
Rua Mário,04814520,212,2,1,2,1200000
Rua Caramuru,04138000,200,4,1,3,1700000
Rua Guaraiúva,04857701,300,4,1,4,2000000
Rua Capitão Garcindo,01250010,280,3,3,2,2100000
Alameda dos Apetupás,04058000,150,3,1,6,4200000
Rua Comendador Júlio Pereira Lopes,04114120,380,4,3,5,1350000
