RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Pinheiros,05187635,200,2,4,2,1995000
Vila Inah,05618090,368,4,4,4,1950000
Vila Santo Estéfano,04153160,140,2,1,2,630000
Bosque da Saúde,04142080,126,2,1,2,750000
Rua Carlos Tiago Pereira,04150080,180,4,5,4,1800000
Rua Timboré,04347150,160,3,4,6,670000
Vila Gumercindo,04130020,110,2,1,1,354000
Rua Pedro Teixeira,04550010,135,3,3,1,1300000
Rua Banibás,05460010,250,3,5,4,2800000
Rua Santa Beatriz,03153070,100,3,2,4,890000
Vila Santa Catarina,04379100,184,3,1,2,840000
Bosque da Saúde,04142080,260,3,1,7,1500000
Rua Parque da Fonte,02345090,600,4,6,8,3780000
Rua Inocêncio Nogueira,05676030,727,7,6,7,5799000
Rua Evezu,05447160,243,3,3,4,1800000
Rua Nicola Pisano,03239130,71,2,2,2,420000
Rua Desembargador Teodomiro Dias,05540080,168,3,3,3,740000
Rua Palmares,04840800,350,5,4,3,2200000
Jardim Guedala,05608020,543,4,7,4,5850000
Rua Manoel Alves de Azevedo,05844140,260,5,4,6,575000
Rua Belmiro Schunk Zenha,04582040,148,2,2,2,640000
Rua João Dias Cerqueira,02352100,100,3,2,3,560000
Rua Heloísa Penteado,03649010,91,2,2,3,615000
Vila Santa Catarina,04379100,114,3,2,3,860000
Rua Ministro Apolônio Salles,03944040,180,3,2,2,550000
Jardim América,01441000,402,4,3,10,9800000
Rua Manuel Correia de Paiva,04401120,158,3,4,2,600000
Ipiranga,04226007,135,3,2,3,1100000
Jardim Paulista,01404000,449,3,3,5,7500000
Brooklin,04578000,200,2,3,2,1000000
Rua Professora Ludovina Credídio Peixoto,04139070,230,5,3,5,1500000
Rua Coronel Manuel Soares Neiva,04167010,100,2,1,1,400000
Bosque da Saúde,04142080,285,3,2,3,1920000
Chácara Monte Alegre,04646030,304,3,5,2,1700000
Vila Paulo Silas,03264050,800,4,3,10,1200000
Rua Salvador Fiordelisio,03181040,301,3,4,5,2100000
Rua São Francisco do Piauí,08215400,135,2,1,2,304500
Parque São Lucas,03220100,160,3,1,2,670000
Chácara Santo Antônio (Zona Sul),04716090,450,4,1,8,3500000
Rua São Pedro do Jequitinhonha,08062300,183,3,2,2,257600
Vila do Encontro,04324090,390,2,1,4,1000000
Rua Dias de Toledo,04143030,150,3,2,5,950000
Vila Carmosina,08295550,63,2,2,1,280000
Rua François Carlier,04190010,94,3,3,2,532000
Rua Doutor Arnaldo de Campos,02975160,104,2,1,1,430000
Jardim Petrópolis,04636000,912,4,6,10,32000000
Vila Pompéia,05022000,180,4,3,5,1578010
Jardim das Vertentes,05541000,150,3,4,3,850000
Jardim Paulistano,01451001,130,3,4,3,2350000
Rua Silvestre de Lima,04264110,416,6,4,6,1700000
Jardim Campo Grande,04686002,194,4,1,4,1490000
Rua Leandro Dupré,04025010,100,3,3,2,850000
Jardim Paulista,01404000,330,3,5,3,3900000
Rua Alessandro Manzoni,04445050,140,4,4,6,1000000
Rua Viaza,03170060,90,3,2,4,1000000
Sacomã,04182020,149,3,1,2,595000
Rua William Thomé Filho,04024030,165,4,3,4,1380000
Rua Moreira Cardoso,04633070,215,3,2,4,1100000
Rua Homero Sales,05126000,260,3,3,4,859000
Rua Júlio Verne,04725060,288,4,4,2,2190000
Rua Doutor Antônio Roberto Neto,05366160,45,2,2,2,370000
Jardim América,01441000,936,4,6,5,26000000
Rua Laplace,04622000,200,3,4,4,2350000
Vila Paulista,03720055,200,3,2,3,1600000
Travessa Roberto Douglas Machado,01451040,170,2,4,2,3300000
Vila Barbosa,08022170,176,2,1,3,286000
Rua Fernando Caldas,05535060,190,3,3,3,900000
Retiro Morumbi,05692000,1800,6,10,20,19000000
Rua Júlio Salusse,08411160,182,3,1,2,165000
Rua Jaime Cortezão,04720050,289,4,3,2,2500000
Rua Aziz Nader,04639050,1100,4,10,8,3500000
Rua Doutor Flávio Américo Maurano,05656020,330,3,6,4,1690000
Avenida Professor Vicente Ráo,04636000,520,3,3,2,2500000
Rua Fructuoso Viana,02378130,145,3,3,3,689000
Rua Natal Pigassi,05527000,150,4,3,2,570000
Rua Doutor Sabóia de Medeiros,04120110,220,3,3,1,780000
Rua Luís Pereira de Almeida,01431020,400,4,3,5,2700000
Vila Antônio,05376020,100,2,2,1,495000
Jardim da Glória,01545110,253,3,4,8,1650000
Avenida Morumbi,05606010,400,4,2,4,1600003
Bosque da Saúde,04142080,420,4,1,6,3000000
Bosque da Saúde,04142080,450,4,1,10,2500000
Jardim Marajoara,04660000,150,2,1,2,650000
Avenida Nossa Senhora do Sabará,04685000,70,2,1,1,380000
Rua Laplace,04622000,750,5,8,8,4200000
Rua Tsutomi Suzuki,05519070,250,5,5,2,1490000
Vila Gumercindo,04130020,159,3,1,2,640000
Rua Duque de Caxias,04748020,337,4,6,3,2549800
Rua Deolinda de Oliveira,04160130,138,3,2,3,540000
Rua Doutor Abelardo Vergueiro César,04635080,90,4,4,2,630000
Rua Kansas,04558000,160,3,4,4,1200000
Butantã,05587155,300,3,1,4,1600000
Jardim Luzitânia,04030000,476,4,5,5,8200000
Conjunto Residencial Morada do Sol,05281000,395,3,3,2,2200000
Rua João Rugna,04151090,200,3,3,3,849000
Rua Arnaldo Vilhena,04805160,90,2,1,3,532000
Jardim Tremembe,02355320,90,2,3,1,369000
Rua Jorge Monteiro,02317160,190,3,2,2,900000
Vila Anhangüera,04673170,180,3,4,4,1300000
Parque Casa de Pedra,02319000,130,3,3,2,395000
Rua Dom Macário,04292000,103,2,3,2,622500
Rua Edmundo Luiz Wagner,04209030,128,2,2,2,719999
Chácara Inglesa,05142045,80,2,2,1,640000
Jardim Paulista,01404000,470,4,5,6,18000000
Rua Antônio Marques Esteves,04726110,190,3,3,2,950000
Planalto Paulista,04072100,224,3,5,4,1648000
Rua Eduardo,04650130,390,3,4,10,2000000
Rua Floresto Bandecchi,05336010,150,3,2,4,650000
Rua Domingos Osvaldo Bataglia,04051090,280,3,4,2,1030000
Avenida Odila,04058020,224,3,3,4,1650000
Rua General Bagueira,02021010,70,2,2,1,550000
Rua Sebastião Maggi da Fonseca,02205040,215,2,2,2,480000
Vila Vasconcelos,05363060,150,3,3,3,550000
Vila Antônio,05376020,100,2,2,2,530000
Avenida Piassanguaba,04060000,228,3,5,2,2350000
Jardim Europa,01449001,400,3,3,3,5500000
Rua Costa Aguiar,04204000,140,2,3,1,650000
Rua Geórgia,04559010,210,4,4,4,1800000
Rua Elias Acras,05527060,200,4,6,6,1200000
Rua Sinfonia das Américas,04870131,200,4,4,4,600000
Jardim Boa Vista (Zona Oeste),05583075,125,3,2,3,550000
Rua Doutor Leite Pereira,04289020,114,3,4,2,690000
Planalto Paulista,04072100,208,3,3,4,1400000
Jardim Sul São Paulo,04413120,258,3,3,4,420000
Rua Itabaquara,01234020,450,5,6,5,3200000
Estrada das Lágrimas,04232000,130,2,1,2,640000
Rua Miguel Langone,08215330,120,3,2,2,365000
Rua Bernardo Buontalenti,05527210,240,3,4,8,899000
Rua Dom Luís de Bragança,04050060,103,4,3,2,1150000
Rua José Alencar Castelo Branco,05052090,229,3,3,3,2200000
Rua Maria Afonso,03370020,209,4,4,2,950000
Rua Padre Bento Ibañez,04649030,130,2,1,1,367929
Rua Cristóvão Pereira,04620010,428,5,7,3,2800000
Jardim Santo Amaro,04741175,279,3,6,4,1690000
Rua Roque Giangrande Filho,04674110,123,2,2,2,530000
Fazenda Morumbi,05657000,1300,6,10,8,6000000
Avenida das Magnólias,05674000,366,4,5,4,1378000
Ipiranga,01046010,179,3,1,2,1300000
Rua Estados Unidos,05212060,400,6,6,6,4600000
Chora Menino,05175360,256,3,4,3,823400
Rua Professor Eduardo Monteiro,05614120,640,4,6,4,4390000
Rua Pedro Voss,03437000,106,2,2,2,598000
Rua Leonardo Vilas Boas,03240000,120,3,2,3,590000
Rua Antônio de Macedo Soares,04607000,80,2,1,1,430000
Parque Colonial,03968000,138,3,2,3,1060000
Rua Doutor Erasmo Teixeira de Assunção,05658060,600,4,4,4,1599000
Vila Gumercindo,04130020,204,3,1,2,1300000
Rua Cachoeira Branca,08320230,250,2,1,1,386250
Rua Coronel João de Oliveira Melo,03474020,250,3,5,6,1200000
Rua Doutor Fausto de Almeida Prado Penteado,05678040,1423,4,5,10,4500000
Rua Guiratinga,04141000,207,3,3,4,2200000
Rua Genova,02348020,257,3,3,5,1498000
Vila Madalena,05444015,292,3,2,2,2600000
City América,05101240,434,3,3,7,1450000
Rua Ferdinando Frantz,04438080,130,3,5,3,585000
Rua Kansas,04558000,335,4,4,4,2500000
Belenzinho,02310040,150,3,2,2,725000
Rua Carlos Gonzalez,08030490,121,2,1,2,264214
Rua Bartolomeu Pagano,02322050,560,4,6,8,850000
Santo Amaro,04745000,271,6,5,1,1485000
Jardim Vergueiro (Sacomã),04166000,120,3,2,4,750000
Bosque da Saúde,04142080,160,3,1,3,1100000
Rua Lúcio Pavan,04076020,180,3,3,2,1080000
Santa Cecília,01225010,466,8,6,7,2990000
Rua Orlando Murgel,04358090,162,3,5,5,1050000
Rua José Vicente Ferreira,03726195,148,3,4,4,690000
Planalto Paulista,04072100,289,3,1,3,1580000
Rua Dona Ana Franco,03088020,170,3,4,5,850000
Rua Lino Coutinho,04207000,400,2,2,2,900000
Campo Belo,04880250,133,3,1,3,850000
Rua Luís Carlos Paraná,04652170,180,3,2,4,750000
Rua Alvorada do Sul,05612010,450,4,9,4,3100000
Rua Oswaldo Brandão,08215570,80,2,2,2,400000
Rua Francisco Dias,03383110,347,4,6,8,2120000
Rua Henrique Martins,04504000,723,3,7,4,16497000
Jardim da Saúde,04291070,316,4,1,6,1500000
Rua Doutor José Maria Whitaker,05622000,259,3,4,2,1500000
Vila Monumento,01552001,460,3,3,2,1300000
Rua Coronel Irlandino Sandoval,01457010,390,4,5,5,5100000
Rua Walter Fontana,04634045,80,2,2,2,595000
Rua Barra da Jangada,02247030,29,1,1,1,300000
Saúde,04142080,250,3,1,5,800000
Rua Afonso Bandeira de Melo,04613060,277,3,4,2,1400000
Rua Matheus José Pires,04809130,100,2,2,1,300000
Jardim Santa Helena,04785040,300,3,1,4,1700000
Rua Porto Sabaúna,03206000,200,3,2,6,800000
Pinheiros,05187635,130,3,3,1,1690000
Sumaré,04894499,320,5,5,4,2850000
Rua Doutor Celso Dario Guimarães,05655030,280,3,3,3,2200000
Rua Pau Brasil,02993245,500,4,4,4,5000000
Avenida Comendador Adibo Ares,05613000,694,4,6,6,3890000
Campo Belo,04880250,320,3,5,2,1800000
Campo Belo,04880250,450,4,6,4,3739000
Vila Adalgisa,05386040,145,4,3,5,855000
Jardim da Saúde,04291070,212,3,1,2,980000
Rua Gonçalves Aranha,02271110,250,3,2,1,700000
Rua Emílio Mallet,03320000,100,3,2,2,650000
Bosque da Saúde,04142080,220,3,1,3,1790000
Jardim das Bandeiras,05439110,339,4,4,4,3900000
Rua Marcial,03169040,155,3,3,2,750000
Rua Janaúba,05679020,400,4,1,5,4300000
Vila Brasilina,04163005,140,3,1,2,385000
Rua Major Freire,04304110,211,4,3,5,970000
Vila Firmiano Pinto,04123030,120,3,1,4,795000
Rua Cabedelo,05618010,300,4,2,4,2000000
Indianópolis,04086000,254,3,5,3,1200000
Avenida Doutor Alberto Penteado,05678000,678,4,5,5,5000000
Vila Mira,02956005,147,3,2,2,700000
Jardim Maria Estela,04180010,140,3,1,2,570000
Avenida Professor Ciro de Barros Resende,04066020,208,3,5,5,2000000
Rua Coronel Rafael de Castro Bueno,05313010,108,2,2,2,680000
Jardim Paulista,01404000,640,4,6,5,5800000
Rua José Pires Pimentel,04677080,180,3,3,4,700000
Rua Galeno de Almeida,05410030,110,3,2,2,1399000
Rua Jonas Ranter,03907040,65,2,1,2,300000
Vila Cláudia,03180190,166,3,2,2,1350000
Rua Araporã,05365050,61,2,2,1,399000
Vila Londrina,03731050,80,2,1,2,430000
Jardim Guedala,05608020,430,4,4,4,3800000
Rua Joaquim Cândido de Azevedo Marques,05688020,388,3,5,3,2300000
Bosque da Saúde,04142080,146,2,1,1,600000
Rua Guadelupe,01439010,753,4,5,6,14000000
Rua General Gaudie Ley,04788130,450,3,3,2,1500000
Rua República do Iraque,04611000,400,5,6,10,2690000
Rua Alfredo Pinheiro,05325000,200,3,2,3,750000
Rua Professor Alfredo Ashcar,05621010,200,3,3,4,1200000
Avenida Angelina,02077000,46,2,2,1,290000
Rua André Saraiva,05626000,290,3,4,4,600000
Avenida João José Gomes,05376100,110,2,1,2,420000
Belenzinho,02310040,255,3,3,7,1389000
Bosque da Saúde,04142080,135,3,1,2,850000
Avenida Armando Ferrentini,04103030,247,3,3,2,1500000
Rua Pereira Caldas,01546100,104,2,1,1,450000
Sumaré,04894499,270,3,4,4,3000000
Jardim Rincão,02991000,315,3,2,3,2000000
Parque São Lucas,03220100,120,3,2,3,650000
Rua Thomás Deloney,04710040,157,3,4,4,1280000
Jardim Paulista,01404000,332,3,4,3,5000000
Água Funda,04316020,125,3,4,2,430000
Jardim Sabará,04446060,160,4,1,2,610000
Santo Amaro,04745000,115,2,1,2,790000
Avenida Amarilis,05673030,840,4,7,4,5899000
Vila Polopoli,05363000,82,2,2,3,399000
Rua Sebastiano Mazzoni,04171000,124,2,2,2,587000
Avenida Cavaleiros de São Paulo,05101240,420,2,1,4,959075
Rua Sebastião de Paiva,05089010,154,2,2,3,840000
Rua Doutor Jesuíno de Abreu,05662010,370,4,5,6,1190000
Rua Mário Maver,04131090,156,3,4,1,660000
Rua Iagari,05084040,240,3,3,5,1750000
Rua Montezuma,05436080,300,4,4,4,4510000
Rua Coriolano,05047000,156,2,2,1,1000000
Rua Luís Reis Santos,04821130,80,3,2,3,450000
Rua Cláudio Rossi,01547000,180,3,3,3,1030000
Rua Rafael Iório,04615050,132,3,2,2,800000
Rua Engenheiro José Sá Rocha,04126020,490,4,5,6,3800000
Aricanduva,03951220,278,3,3,2,480000
Jardim Palmares (Zona Sul),04457050,160,3,2,4,780000
Vila Regente Feijó,03342000,193,2,1,2,500000
Rua Traipu,01235000,280,4,5,2,2000000
Vila Gumercindo,04130020,140,3,4,2,1000000
Rua Doutor José de Queirós Aranha,04106060,260,3,3,5,1900000
Avenida São Lucas,03239000,115,2,2,2,419900
Vila Darli,03262060,150,3,2,2,585000
Rua Portugal,01446020,319,3,3,1,5900000
Rua Silveira Sampaio,05656010,550,4,1,8,3300000
Rua Sampaio Vidal,01443000,200,3,4,1,2450000
Rua Panônia,05629010,140,3,2,2,730000
Vila Ida,05455000,400,3,4,5,4200000
Rua Groenlândia,01434000,814,4,8,4,25000000
Rua Gastão da Cunha,04361090,177,3,3,2,669000
Rua João Millam,05373080,130,3,3,2,540000
Rua Enjolras Vampre,04290070,360,4,4,10,2120000
Rua Alfa,01144050,270,3,4,4,810000
Vila Madalena,05444015,500,4,4,4,3500000
Jardim Nice,03905030,117,3,1,2,370000
Rua Montanaro Canavese,03580180,300,3,2,1,400000
Vila Constancia,04437030,190,2,1,2,650000
Rua Francisco da Cunha,05185200,204,2,1,1,215118
Rua Belchior Paulo,02467110,150,3,2,1,600000
Vila Romana,05045050,350,3,5,4,3900000
Bosque da Saúde,04142080,400,5,6,4,1300000
Rua Enjolras Vampre,04290070,260,4,6,3,1800000
Jardim Pirituba,02984035,63,2,3,2,380000
Vila Marari,04403110,100,2,2,2,430000
Jardim Jussara,05525090,250,3,4,3,999000
Jaguaré,05346000,240,3,6,2,1300000
Travessa José Sancho,02451045,356,4,5,5,1700000
Rua Xavier Curado,04210100,400,6,2,5,1800000
Rua Babitonga,04558060,185,3,3,3,960000
Penha de França,03606010,210,2,4,3,480000
Rua José Correia Lima,05143320,70,3,1,1,440000
Rua Lourenço Cândido de Siqueira,03573140,120,2,2,3,315000
Parque Maria Domitila,05128025,150,3,1,1,490000
Avenida Euclides,04326080,141,3,2,2,620000
Tatuapé,03076005,234,5,3,2,690000
Jardim da Glória,01545110,353,4,5,4,1770000
Rua Ática,04634040,223,3,5,2,799000
Avenida Visconde do Rio Grande,05870200,62,1,1,1,213850
Rua Ibirá,03279200,165,3,2,3,950000
Rua Búzios,02337010,54,2,3,1,375000
Rua Bento Dias Botelho,04403070,110,2,1,1,370000
Rua Texas,04557000,120,3,1,3,999000
Parque Imperial,04302120,96,3,1,3,620000
Rua Guapiaçu,04024020,440,3,6,3,3200000
Vila Anhangüera,04673170,180,3,4,4,1250000
Rua José da Veiga Vale,05124070,90,2,1,1,398000
Rua Doutor Milton de Souza Meirelles,05324020,250,3,3,2,800000
Rua Jacques Blanche,03624110,110,3,2,2,480000
Rua Gastão da Cunha,04361090,410,3,1,1,699300
Rua Raimon de Miraval,05833350,101,2,2,1,550000
Rua Pires de Oliveira,04716010,375,4,4,3,3600000
Rua Doutor Fausto de Almeida Prado Penteado,05678040,1423,4,5,10,4550000
Rua Escobar Ortiz,04512050,200,3,4,4,5850000
Parque Santo Antônio (Aricanduva),03385160,283,4,2,2,430000
Jardim Cidalia,04652195,125,3,1,5,800000
Chácara Inglesa,05142045,192,3,1,5,1200000
Rua Canavieiras,03106080,220,4,2,2,720000
Rua Cocais,04347170,120,2,1,3,470000
Vila Romana,05045050,217,4,4,4,1800000
Vila Monumento,01552001,360,3,2,3,905000
Cidade Jardim,01453000,345,4,5,4,2700000
Rua São Benedito,04735000,366,4,6,4,1900000
Rua João Nicolau Chamma,02355060,360,3,4,6,980000
Rua Capitão Rangel,03607100,120,2,1,1,750000
Rua Quintana,04569010,365,4,5,3,2200000
Chácara Inglesa,05142045,160,3,2,2,1180000
Rua Doutor Antônio Roberto Neto,05366160,125,3,2,2,520000
Sumaré,04894499,350,5,7,2,3200000
Fazenda Morumbi,05657000,380,5,7,4,1300000
Jardim das Bandeiras,05439110,291,4,2,3,3250000
Rua Moacir Miguel da Silva,05595000,300,3,3,7,960000
Rua Joaquim Figueira,03356020,114,3,1,1,950000
Rua Laplace,04622000,200,4,4,4,2400000
Rua Araripina,05603030,448,3,5,4,5500000
Rua Manguatá,04567070,196,4,5,4,1600000
Rua Iraci,01457000,240,3,5,3,2600000
Rua Camilo Lopes de Souza,04461090,160,3,2,3,480000
Rua Camundo,04071040,250,4,4,6,890000
Brooklin Paulista,04578000,250,4,4,4,2200000
Rua Duque de Caxias,04748020,550,4,5,5,3500000
Rua Doutor José Cássio Soares,03240020,160,3,3,2,636000
Rua José Martins Borges,02348080,100,2,1,4,750000
Rua Sebastião Rodrigues,05451060,145,3,2,2,2150000
Rua Maestro Elias Lobo,01433000,1060,5,5,5,30000000
Rua Industrial,03203010,435,4,3,5,1300000
Rua José do Patrocínio Waetge,05388000,200,3,2,3,490000
Vila Tiradentes,05367250,150,3,3,2,580000
Rua do Ceuta,04031010,597,3,5,4,4900000
Planalto Paulista,04072100,240,3,2,1,950000
Vila Santa Catarina,04379100,144,2,1,2,540000
Rua Doutor Wilton Paes de Almeida,05678020,640,4,6,3,2700000
Avenida General Leite de Castro,04182020,172,3,3,4,560000
Mooca,03110030,450,4,6,6,3000000
Vila Sonia,05626010,153,3,2,3,860000
Praça Natividade Simoes de Franca,04786033,230,4,4,3,1100000
Rua Junqueira,04644160,1650,3,5,6,15000000
Vila Gertrudes,04794000,109,2,2,2,1000000
Rua Francisco Lopes Pinto,04649110,100,2,1,6,470000
Rua Manuel Pitta,02478000,264,4,4,10,750000
Vila Vera,04295000,140,2,1,2,540000
Vila Congonhas,04612040,300,3,4,4,2400000
Vila Sonia,05626010,180,3,2,3,900000
Planalto Paulista,04072100,420,3,6,2,2495000
Rua Arlindo Pasqualini,02347130,340,3,4,3,1200000
Rua Monte Caseros,05590130,180,3,3,3,750000
Rua Marcílio de Sá,05541020,150,3,4,3,850000
Rua Careaçu,02339000,350,4,3,4,1300000
Rua Carlos Cyrillo Júnior,05614000,600,5,8,3,6500000
Rua Rafael Clark,05526010,196,3,3,4,850000
Rua Augusto Farina,05594000,175,4,5,4,850000
Bosque da Saúde,04142080,75,2,1,1,669000
Ipiranga,01046010,129,3,1,1,850000
Rua José Yazigi,05658020,584,4,3,4,1690000
Avenida Piassanguaba,04060000,222,3,4,2,1200000
Rua João Florêncio,05797340,300,3,2,4,2800000
Rua Marie Satzke,04664150,560,4,4,8,2250000
Rua José Carlos de Toledo Piza,05712070,100,2,1,2,400000
Rua Ordenações Manuelinas,05624070,135,3,3,2,645000
Rua Ordenações Manuelinas,05624070,149,3,3,2,695000
Vila Nair,04280060,210,3,2,2,940000
Rua João Lopes de Amorim,02613050,230,3,5,3,520000
Rua Ordenações Manuelinas,05624070,112,2,2,2,595000
City América,05101240,470,4,4,6,2500000
Rua Conseguina,05604040,742,4,5,6,3200000
Rua Boturoca,05586010,390,4,4,8,2995000
Rua Rosa Mística,04333010,125,3,4,2,530000
Jardim Campo Grande,04686002,295,3,3,5,1700000
Chácara Monte Alegre,04646030,420,4,5,3,1978000
Alto da Lapa,05083010,560,3,2,1,1200000
Rua També,05608090,544,4,9,10,8000000
Rua Guararapes,05077050,237,3,3,6,1300000
Rua José Tôrres Lima,03570200,90,2,2,4,430000
Parque Edu Chaves,02229000,347,3,2,10,899900
Rua César Guimarães,01545070,310,3,2,5,1600000
Parque São Rafael,08320395,80,2,2,1,230000
Rua dos Alcatrazes,04644000,1300,5,6,9,10000000
Rua Dom Macário,04292000,233,3,4,6,1800000
Rua Madalena,05434090,180,1,3,1,3000000
Rua Maria de Lourdes Vital da Silva,04726100,181,3,5,4,1490000
Rua Baltazar Pinto,03517010,130,3,2,2,405000
Rua Antônio de Oliveira Gago,04677090,170,3,4,3,1200000
Jardim Paulistano,01451001,200,3,3,1,1850000
Rua Coronel Irlandino Sandoval,01457010,390,4,2,5,5050000
Rua Ministro Sinésio Rocha,05030000,384,3,6,2,1800000
Rua Doutor Eríco Álvares de Azevedo Gonzaga,05577200,325,4,3,5,475000
Conjunto Habitacional Castro Alves,08474232,125,3,1,2,220000
Rua Guaonés,05610010,960,4,8,10,4750000
Rua Guaniqué,04251050,90,3,3,2,459000
Rua Brasileiro de Campos,03560160,140,3,2,2,450000
Rua Todos os Santos,05602010,750,4,5,11,5500000
Rua Franklin Lewis Gemmel,04671320,145,2,3,3,850000
Jardim Paulistano,01451001,298,3,5,2,2450000
Rua Manoel das Neves,05180300,277,6,6,5,425000
Rua Abegoaria,05436170,620,4,5,8,5800000
Rua Gomes,04547000,720,3,5,3,1750000
Planalto Paulista,04072100,195,3,3,3,680000
Rua Artemis,04351070,167,4,4,2,550000
Rua Planeta,03376010,120,2,2,2,490000
Rua Ângelo de Cândia,03958000,175,3,3,2,500000
Jardim Paulista,01404000,570,4,6,4,11000000
Alameda dos Tupinas,04069000,400,4,6,4,1550000
Rua dos Timoneiros,02462110,240,4,2,2,720000
Rua Cristóvão Pereira,04620010,620,5,5,7,4000000
Rua Nova Pátria,04151050,275,4,4,3,1480000
Rua Camé,02363140,440,4,3,8,2000000
Rua Doutor Erasmo Teixeira de Assunção,05658060,482,4,4,4,1800000
Rua Inocêncio Nogueira,05676030,480,4,5,4,4700000
Indianópolis,04086000,190,3,5,1,1230000
Jardim Sarah,05381050,150,3,3,4,690000
Rua República do Iraque,04611000,130,2,2,2,1250000
Rua Itatiaiuçu,03942090,180,2,1,1,340000
Rua Lina,03820060,240,3,3,2,830000
Avenida Lacerda Franco,01536000,130,3,4,1,850000
Rua Natingui,05443000,400,4,5,8,2900000
Rua Luís Ferreira de Barros,05359090,214,3,3,6,560000
Rua Doutor Manuel Carlos de Figueiredo Ferraz,05655000,450,4,5,7,1950000
Rua Tomé Portes,04623050,266,4,3,2,1500000
Rua José Flávio,03642000,205,1,1,1,352950
Rua Guilherme Moura,05449010,339,5,5,4,3100000
Rua Cristóvão Pereira,04620010,96,3,3,2,695000
Jardim Paulista,01404000,120,3,4,4,2900000
Jardim Marajoara,04660000,400,4,3,3,1700000
Vila Formosa,03366010,125,3,3,3,678000
Rua Caetano Menino,04785080,427,4,1,4,1600000
Rua Ipurinas,04561050,212,4,4,4,1800000
Jardim Paulistano,01451001,226,3,3,6,5200000
Alameda dos Indígenas,04059060,314,3,7,4,1452000
Rua Vergel,03179040,341,2,2,3,625000
Jardim Paulista,01404000,420,4,9,4,4200000
Rua Tomaz da Mota,05596080,140,3,4,2,725000
Rua Brigadeiro Gama Barcelos,04355070,350,3,2,4,842700
Rua Doutor Augusto de Miranda,05026000,264,4,4,5,2130000
Rua Guaianaz da Fonseca,05451050,220,3,5,4,1790000
Jardim Leonor,02348170,380,5,5,4,2300000
Rua Mamud Rahd,02372090,280,3,5,3,1550000
Rua Batista da Costa,03335020,110,2,2,2,750000
Rua Marcelina,05044010,120,2,2,1,750000
Rua Bucareste,01447040,725,4,5,10,20000000
Rua Martins,05511000,290,3,1,5,1350000
Brooklin Paulista,04578000,400,3,5,4,3140000
Rua Presidente Antônio Cândido,05083060,540,4,6,3,2200000
Rua Dinah Silveira de Queiroz,05119090,360,3,3,4,1500000
Rua Olegário Mariano,05612000,680,5,8,4,3500000
Rua Macarani,04151080,450,4,5,10,2500000
Rua São Rafael,04849317,86,3,2,2,750000
Rua Doutor Cristiano de Sousa,05658010,341,4,6,4,1300000
Saúde,04142080,220,2,1,2,690000
Alameda Franca,01422000,137,9,3,1,2600000
Rua Baronesa de Bela Vista,04612000,290,4,4,4,2000000
Rua Laurindo Sbampato,02076040,80,2,1,2,470000
Vila Moraes,04169000,217,3,1,1,598000
Alto de Pinheiros,05462050,350,5,6,6,2900000
Rua Iguaçaba,03379080,80,2,1,2,450000
Rua João Felisberto Moreira,08060140,135,3,3,3,600000
Saúde,04142080,150,2,1,2,729000
Rua Breno Pinheiro,05661000,273,3,4,5,950000
Rua Ubiracica,05470020,889,4,7,6,13900000
Rua Filipe de Gusmão,05441100,125,3,3,1,880000
Rua das Pérolas,04324110,195,3,3,2,1000000
Rua Tatuaçu,03462050,405,6,6,2,680000
Rua Rita Joana de Sousa,04601060,220,3,4,3,1850000
Rua Professor José Geraldo de Lima,05367180,150,3,2,2,620000
Alameda Rainha Santa,03425060,185,5,3,4,1940000
Rua do Grito,04217000,240,2,1,2,735000
Jardim Luzitânia,04030000,490,4,4,4,5200000
Avenida Morumbi,05606010,670,4,7,8,2000000
Rua Grécia,04911080,280,3,2,3,4800000
Jardim Bélgica,04686000,183,4,5,3,990000
Vila Madalena,05444015,440,3,5,4,3950000
Vila São Silvestre,08011390,95,2,1,1,508000
Rua Maurício de Castilho,04264020,173,3,3,5,1050000
Rua Tobias Barreto,03176000,90,3,2,1,520000
Rua Desembargador do Vale,05010040,76,3,1,1,850000
Cidade Mãe do Céu,03306085,170,3,4,3,800000
Rua Puréus,05610000,1100,5,8,10,6850000
Rua Doutor João Maia,04109130,311,4,4,3,2200000
Vila Dom Pedro I,04279000,300,3,1,5,1750000
Sumaré,04894499,430,3,5,5,2580000
Avenida Professor Francisco Morato,05512000,370,3,5,2,1880000
Rua Doutor Astor Dias Guimarães,05593100,70,2,2,1,680000
Rua Itaqueri,03178000,150,3,3,3,790000
Vila Moinho Velho,04287100,300,3,1,2,980000
Rua Augusto Fetzer,03277020,150,3,3,3,695000
Rua João Protezek,04652218,180,3,1,3,950000
Travessa Dança do Manjericão,04315020,90,2,2,2,370000
Rua Marco Aurélio,05048000,306,4,5,2,1270000
Rua Dentista Barreto,03420000,1050,7,9,7,8000000
Bosque da Saúde,04142080,149,2,1,5,790000
Penha de França,03606010,300,5,3,3,1000000
Vila da Saúde,04146070,250,3,2,5,1100000
Vila Clementino,04042030,110,3,2,1,790558
Itaquera,03450001,97,1,1,2,304500
Vila Medeiros,02205000,360,3,4,3,550000
Rua Veloso Guerra,01330030,190,3,2,1,960000
Avenida Sílvio Sciumbata,04789010,253,3,4,6,1100000
